Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Aang's Iceberg,TLA,Avatar: The Last Airbender,5,normal,rare,1,108123,720fbd87-b1c1-4b3b-97a1-46b943b115e3,0.02,false,false,near_mint,en,EUR,2025-11-26T15:34:18.488Z
"Aang, at the Crossroads // Aang, Destined Savior",TLA,Avatar: The Last Airbender,203,normal,rare,1,109588,fea89ca0-8070-4f28-9851-994314f9d248,0.38,false,false,near_mint,en,EUR,2025-11-26T15:34:18.488Z
Abandon Attachments,TLA,Avatar: The Last Airbender,205,normal,common,2,108228,74ca45a4-97ab-4255-9129-884e8b42b984,0.07,false,false,near_mint,en,EUR,2025-11-26T15:34:18.488Z
Abraded Bluffs,OTJ,Outlaws of Thunder Junction,251,normal,common,1,93074,19e96521-b4ce-4a36-a887-200e05ccc804,0.19,false,false,near_mint,en,EUR,2025-10-27T10:57:33.331Z
Absolving Lammasu,MKM,Murders at Karlov Manor,2,normal,uncommon,1,91163,bd6e71a1-713e-4eca-bd65-9f0638c16794,0.07,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Abstract Paintmage,SOS,Secrets of Strixhaven,171,normal,uncommon,2,112708,ea008094-d995-4740-9b39-c61049356c55,0.09,false,false,near_mint,en,EUR,2026-05-08T10:13:36.486Z
Abundant Growth,AVR,Avacyn Restored,167,normal,common,1,18111,afbc8fd0-dc15-4ac9-b97b-173f7fb66ed7,0.45,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Abyssal Harvester,FDN,Foundations,54,foil,rare,1,101342,f2e0f538-5825-47e9-883c-3ec6fd5b25ea,1.51,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Abzan Devotee,TDM,Tarkir: Dragonstorm,68,normal,common,1,104305,66555946-e747-46fa-b1ac-b103a8edcd93,0.04,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Acidic Slime,M12,Magic 2012,161,normal,uncommon,1,19106,ae8e5876-3eff-4075-9fa2-3ab6030848e9,0.1,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Action News Crew,TMT,Teenage Mutant Ninja Turtles,1,normal,common,1,111347,bc0f5ca8-47bd-4451-8fd1-a312ff7d31ec,0.03,false,false,near_mint,en,EUR,2026-03-06T23:49:55.844Z
Adaptive Automaton,FDN,Foundations,723,foil,rare,1,101259,e35e614c-51a9-4d5c-b7fa-1a0a87108785,1.32,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Adarkar Wastes,BLC,Bloomburrow Commander,291,normal,rare,1,96474,d501527c-1bf5-4b59-9bff-e4562181a096,0.4,false,false,near_mint,en,EUR,2025-11-06T20:40:57.429Z
Adrenaline Jockey,DFT,Aetherdrift,112,normal,uncommon,2,103626,c8655373-320d-440d-b700-d03413f743fd,0.06,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Adventurer's Airship,FIN,Final Fantasy,252,normal,common,1,106504,0a1d6dcd-bd41-4f57-a35b-6613811fe4d4,0.05,false,false,near_mint,en,EUR,2025-06-18T14:09:45.764Z
Adventurer's Inn,FIN,Final Fantasy,271,normal,common,1,105754,f0da2ee1-986e-4cbf-92eb-d96fdb572ca5,0.02,false,false,near_mint,en,EUR,2025-06-18T14:09:45.764Z
Adventuring Gear,FDN,Foundations,249,foil,uncommon,1,100358,361f9b99-5b5d-40da-b4b9-5ad90f6280ee,0.1,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Adventuring Gear,FDN,Foundations,249,normal,uncommon,1,100358,361f9b99-5b5d-40da-b4b9-5ad90f6280ee,0.05,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Adventurous Eater // Have a Bite,SOS,Secrets of Strixhaven,72,normal,common,1,112694,d40cc7da-c731-418e-8547-7033d1939450,0.02,false,false,near_mint,en,EUR,2026-05-08T10:13:36.491Z
Aegis Turtle,FDN,Foundations,150,foil,common,1,101590,c7f2014a-fbc9-447c-a440-e06d01066bb9,0.13,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Aegis Turtle,FDN,Foundations,150,normal,common,2,101590,c7f2014a-fbc9-447c-a440-e06d01066bb9,0.04,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Aether Channeler,BLC,Bloomburrow Commander,160,normal,rare,1,96201,213df60e-5ada-41ff-98e6-0ba094a6bed2,0.33,false,false,near_mint,en,EUR,2025-11-06T20:40:57.429Z
Aetherize,BLC,Bloomburrow Commander,161,normal,uncommon,1,96268,468aeb4d-d970-4332-8e8b-a3d57cb661a9,0.32,false,false,near_mint,en,EUR,2025-11-06T20:40:57.429Z
Aetherjacket,DFT,Aetherdrift,230,normal,common,2,103424,0a29c8a5-fd98-422c-9518-2db0993495e5,0.04,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Aettir and Priwen,FIN,Final Fantasy,253,normal,mythic,1,106497,038710ca-c756-4e66-a9de-278e676c9f5b,2.02,false,false,near_mint,en,EUR,2025-06-18T14:09:45.764Z
Affectionate Indrik,FDN,Foundations,211,normal,uncommon,1,100310,2da8347d-06a4-46e0-a55e-cc2da4660263,0.05,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
