Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Abandon Attachments,TLA,Avatar: The Last Airbender,205,normal,common,2,108228,74ca45a4-97ab-4255-9129-884e8b42b984,0.07,false,false,near_mint,en,EUR,2025-11-26T15:34:18.488Z
Abraded Bluffs,OTJ,Outlaws of Thunder Junction,251,normal,common,1,93074,19e96521-b4ce-4a36-a887-200e05ccc804,0.19,false,false,near_mint,en,EUR,2025-10-27T10:57:33.331Z
Abundant Growth,AVR,Avacyn Restored,167,normal,common,1,18111,afbc8fd0-dc15-4ac9-b97b-173f7fb66ed7,0.45,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Abzan Devotee,TDM,Tarkir: Dragonstorm,68,normal,common,1,104305,66555946-e747-46fa-b1ac-b103a8edcd93,0.04,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Action News Crew,TMT,Teenage Mutant Ninja Turtles,1,normal,common,1,111347,bc0f5ca8-47bd-4451-8fd1-a312ff7d31ec,0.03,false,false,near_mint,en,EUR,2026-03-06T23:49:55.844Z
Adventurer's Airship,FIN,Final Fantasy,252,normal,common,1,106504,0a1d6dcd-bd41-4f57-a35b-6613811fe4d4,0.05,false,false,near_mint,en,EUR,2025-06-18T14:09:45.764Z
Adventurer's Inn,FIN,Final Fantasy,271,normal,common,1,105754,f0da2ee1-986e-4cbf-92eb-d96fdb572ca5,0.02,false,false,near_mint,en,EUR,2025-06-18T14:09:45.764Z
Adventurous Eater // Have a Bite,SOS,Secrets of Strixhaven,72,normal,common,1,112694,d40cc7da-c731-418e-8547-7033d1939450,0.02,false,false,near_mint,en,EUR,2026-05-08T10:13:36.491Z
Aegis Turtle,FDN,Foundations,150,foil,common,1,101590,c7f2014a-fbc9-447c-a440-e06d01066bb9,0.13,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Aegis Turtle,FDN,Foundations,150,normal,common,2,101590,c7f2014a-fbc9-447c-a440-e06d01066bb9,0.04,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Aetherjacket,DFT,Aetherdrift,230,normal,common,2,103424,0a29c8a5-fd98-422c-9518-2db0993495e5,0.04,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Agency Coroner,MKM,Murders at Karlov Manor,75,normal,common,1,91223,d63f2c23-e877-42e3-9362-5d003a173c6d,0.04,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Agent of Kotis,TDM,Tarkir: Dragonstorm,36,normal,common,1,104318,812d0462-0158-467f-951d-a7a121188a10,0.02,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Ahriman,FIN,Final Fantasy,87,normal,common,1,106517,162a415c-5465-497e-8f4e-c6f09681641d,0.05,false,false,near_mint,en,EUR,2025-06-18T14:09:45.764Z
Airbending Lesson,TLA,Avatar: The Last Airbender,8,normal,common,2,108292,e2bcd0a6-e94d-4a21-a334-a57459c1b8cc,0.07,false,false,near_mint,en,EUR,2025-11-26T15:34:18.488Z
Airship Crash,FIN,Final Fantasy,171,normal,common,1,106680,ec91c4e4-711f-464d-bc83-e6813f4fdcdb,0.05,false,false,near_mint,en,EUR,2025-06-18T14:09:45.764Z
Airship Engine Room,TLA,Avatar: The Last Airbender,265,normal,common,1,109375,0b98ba34-f251-4bd0-9d75-1d4445be5cfd,0.11,false,false,near_mint,en,EUR,2025-11-26T15:34:18.488Z
Airtight Alibi,MKM,Murders at Karlov Manor,149,normal,common,2,91173,bffbbe21-0a1d-48b9-903e-81c109aa11de,0.08,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Ajani's Response,SOS,Secrets of Strixhaven,6,normal,common,2,112654,9cd1417a-badc-4abd-a8ca-5b31f85c1072,0.09,false,false,near_mint,es,EUR,2026-04-19T19:45:43.727Z
Ajani's Response,SOS,Secrets of Strixhaven,6,normal,common,1,112654,9cd1417a-badc-4abd-a8ca-5b31f85c1072,0.03,false,false,near_mint,en,EUR,2026-05-08T10:13:36.508Z
Alacrian Jaguar,DFT,Aetherdrift,152,normal,common,1,103456,2bd40bca-aa54-4e52-8d48-b3709a11e633,0.05,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Alania's Pathmaker,BLB,Bloomburrow,123,normal,common,3,96123,d3871fe6-e26e-4ab4-bd81-7e3c7b8135c1,0.04,false,false,near_mint,es,EUR,2025-04-20T23:27:12.695Z
Alchemist's Apprentice,AVR,Avacyn Restored,42,normal,common,3,18236,31abba67-1241-4fb3-88b5-4c4668ec5f25,0.07,false,false,near_mint,es,EUR,2025-04-20T23:27:12.695Z
Alesha's Legacy,TDM,Tarkir: Dragonstorm,72,normal,common,1,104875,a9262bf6-df6a-446c-ba70-18270a09842d,0.06,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Alley Assailant,MKM,Murders at Karlov Manor,76,normal,common,2,91293,edf238c9-61de-4f3a-b82f-05af46e5e81b,0.04,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Ally,TTLA,Avatar: The Last Airbender Tokens,5,normal,common,1,109982,cae9c13e-fda2-4591-bd52-888d12194e4d,,false,false,near_mint,en,EUR,2025-11-26T15:34:18.488Z
Ally,TTLA,Avatar: The Last Airbender Tokens,4,normal,common,2,109995,f842c52a-04b6-4625-ba58-45b043ada340,,false,false,near_mint,en,EUR,2025-11-26T15:34:18.488Z
Amass the Components,AVR,Avacyn Restored,43,normal,common,1,18235,f5b48d60-fc99-4d21-9293-4f7ce1c02928,0.15,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Amazing Acrobatics,SPM,Marvel's Spider-Man,25,normal,common,1,108554,9a2f6d84-3d83-4f48-9906-11f681171930,0.05,false,false,near_mint,en,EUR,2025-09-30T23:51:40.191Z
Ambush Gigapede,OTJ,Outlaws of Thunder Junction,77,normal,common,1,93268,93b17d09-974a-4e33-b14d-5fe4230ab241,0.04,false,false,near_mint,en,EUR,2025-10-27T10:57:33.331Z
Ambush Wolf,FDN,Foundations,98,foil,common,1,101492,2903832c-318e-42ab-bf58-c682ec2f7afd,0.04,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Ambush Wolf,FDN,Foundations,98,normal,common,2,101492,2903832c-318e-42ab-bf58-c682ec2f7afd,0.03,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Ancestral Anger,SOS,Secrets of Strixhaven,106,normal,common,1,112627,6c5a93d6-d4ab-4062-bb3c-1b5330bf15ad,0.19,false,false,near_mint,es,EUR,2026-04-19T19:45:43.786Z
