Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Aettir and Priwen,FIN,Final Fantasy,253,normal,mythic,1,106497,038710ca-c756-4e66-a9de-278e676c9f5b,2.02,false,false,near_mint,en,EUR,2025-06-18T14:09:45.764Z
Angelic Destiny,FDN,Foundations,565,normal,mythic,1,100119,066d73fa-369b-44a3-b1a9-d22176ac3566,1.56,false,false,near_mint,es,EUR,2025-04-20T23:27:12.695Z
"Aragorn and Arwen, Wed",LTR,The Lord of the Rings: Tales of Middle-earth,287,foil,mythic,1,83546,d7d4c97a-9319-4534-9a49-da000f41a02d,4.14,false,false,near_mint,es,EUR,2025-04-20T23:27:12.695Z
"Arthur, Marigold Knight",BLC,Bloomburrow Commander,5,foil,mythic,1,96398,9b3603aa-58a2-41d4-a58f-2b3306876e35,0.34,false,false,near_mint,en,EUR,2025-11-06T20:40:57.429Z
Ashcoat of the Shadow Swarm,PZA,Teenage Mutant Ninja Turtles Source Material,6,normal,mythic,1,111260,6873a1d1-b1bc-4ed6-a734-0e35fd8dbc8e,13.76,false,false,near_mint,en,EUR,2026-03-06T23:49:55.833Z
"Aurelia, the Warleader",FDN,Foundations,651,normal,mythic,1,101070,bc6ffc1c-575b-4116-83c9-d13b29886c35,6.54,false,false,near_mint,es,EUR,2025-04-20T23:27:12.695Z
"Bria, Riptide Rogue",BLB,Bloomburrow,379,foil,mythic,1,91701,390c96b3-68da-4a42-89ab-d9ccc79ce0dd,10.03,false,false,near_mint,es,EUR,2025-04-20T23:27:12.695Z
Broadcast Takeover,TMT,Teenage Mutant Ninja Turtles,86,normal,mythic,1,110956,e640e930-0907-40f2-9015-88f8c1e8ee5c,1.6,false,false,near_mint,en,EUR,2026-03-06T23:49:55.834Z
"Byrke, Long Ear of the Law",BLB,Bloomburrow,380,foil,mythic,1,91703,6441abd3-320b-424a-9753-61e3581fe1a9,2.01,false,false,near_mint,es,EUR,2025-04-20T23:27:12.695Z
Catharsis,ECL,Lorwyn Eclipsed,209,normal,mythic,1,110818,affb4500-2704-49fc-bbb4-02ed4bfb3b76,0.02,false,false,near_mint,en,EUR,2026-01-25T20:47:46.703Z
"Chandra, Spark Hunter",DFT,Aetherdrift,116,normal,mythic,1,102916,11f9b98e-48a1-491e-bdab-6e94e4ec747a,4.42,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Coalstoke Gearhulk,PDFT,Aetherdrift Promos,198s,foil,mythic,1,103816,000bd10e-0237-4e58-b260-313452c6c6f4,4.88,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Combat Celebrant,BLC,Bloomburrow Commander,194,normal,mythic,1,96261,3e611db6-0819-487c-bc05-17c92d79c75b,0.56,false,false,near_mint,en,EUR,2025-11-06T20:40:57.429Z
Darksteel Colossus,FDN,Foundations,671,normal,mythic,1,100660,70197723-c61b-4600-b61d-41380c8f3067,3.0,false,false,near_mint,es,EUR,2025-04-20T23:27:12.695Z
Demonic Pact,ORI,Magic Origins,92,normal,mythic,1,10850,82c04014-91f9-4197-b4b4-f62c4739a5c2,2.23,false,false,near_mint,es,EUR,2025-04-20T23:27:12.695Z
Dragonmaster Outcast,C19,Commander 2019,139,normal,mythic,1,45795,c1479b6e-b1a2-4089-8ab5-56a6864dbbc0,0.73,false,false,near_mint,es,EUR,2025-04-20T23:27:12.695Z
Drown in the Loch,SPG,Special Guests,27,normal,mythic,1,90027,03c8654e-900a-4720-a4a1-1107d6271c70,6.41,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Elemental Bond,TLE,Avatar: The Last Airbender Eternal,40,normal,mythic,1,109809,da25ea1d-2fa6-42ca-bd06-a2edeb300eb5,2.25,false,false,near_mint,en,EUR,2025-11-26T15:34:18.488Z
"Elspeth, Sun's Champion",BLC,Bloomburrow Commander,97,normal,mythic,1,96333,6f816d97-10f0-4d92-aa21-254754530554,2.02,false,false,near_mint,en,EUR,2025-11-06T20:40:57.429Z
Exalted Sunborn,EOE,Edge of Eternities,15,foil,mythic,1,107070,7e1fe101-f634-41e5-9aa4-e8d7474535dc,20.16,false,false,near_mint,en,EUR,2025-08-01T19:16:32.510Z
Finale of Revelation,MKC,Murders at Karlov Manor Commander,106,normal,mythic,1,90298,2b090b79-befd-4b18-ae9f-03a2bf516aef,0.4,false,false,near_mint,es,EUR,2025-04-20T23:27:12.695Z
Force of Will,SOA,Secrets of Strixhaven Mystical Archive,19,normal,mythic,1,111805,7a87f8bc-1b3e-4cb2-9343-5f008e942411,50.94,false,false,near_mint,en,EUR,2026-07-20T10:08:18.020Z
Frost Titan,M11,Magic 2011,55,normal,mythic,1,21334,065addc8-c235-43cc-a54f-b582826e5df1,0.59,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
God-Eternal Bontu,EOC,Edge of Eternities Commander,83,normal,mythic,1,106958,142b0860-8a82-4830-a4ff-2bbfc102437e,0.35,false,false,near_mint,en,EUR,2025-08-06T14:50:32.528Z
"Gwenom, Remorseless",SPM,Marvel's Spider-Man,56,normal,mythic,1,108046,46b6cc5d-7a37-4e8b-a1a5-9a573056610c,5.27,false,false,near_mint,en,EUR,2025-09-30T23:51:40.191Z
"Hearthhull, the Worldseed",EOC,Edge of Eternities Commander,1,normal,mythic,1,107054,6b913e79-a9f6-44d4-bb37-c4f6f66b8151,0.93,false,false,near_mint,en,EUR,2025-08-06T14:50:32.528Z
Huntmaster of the Fells // Ravager of the Fells,SLD,Secret Lair Drop,700,normal,mythic,1,73390,b3e861d2-d0a6-4a00-a4e1-4e10f038309a,1.7,false,false,near_mint,en,EUR,2025-08-01T19:16:32.510Z
In the Trenches,BRO,The Brothers' War,8,normal,mythic,1,75543,71ff86e9-1ce6-43cc-8135-f2adb1b6c5a7,0.5,false,false,near_mint,es,EUR,2025-04-20T23:27:12.695Z
Inferno Titan,BLC,Bloomburrow Commander,198,normal,mythic,1,96302,5b99f2f2-7000-401a-9201-b604238baf7a,0.21,false,false,near_mint,en,EUR,2025-11-06T20:40:57.429Z
Jeska's Will,SOA,Secrets of Strixhaven Mystical Archive,44,foil,mythic,1,112661,aa1e5db0-4cd8-4d42-bde1-3e3d0041339f,45.44,false,false,near_mint,es,EUR,2026-04-19T19:45:43.828Z
"Kaito, Cunning Infiltrator",FDN,Foundations,44,normal,mythic,1,100560,5dabdea9-2015-49b9-853d-4f7e1262eab3,3.66,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
"Kellan, the Kid",OTJ,Outlaws of Thunder Junction,213,normal,mythic,1,93031,04dfbc4c-ab21-45db-bbd9-b9d245d60015,0.81,false,false,near_mint,en,EUR,2025-10-27T10:57:33.331Z
"Korvold, Fae-Cursed King",EOC,Edge of Eternities Commander,120,normal,mythic,1,107032,607c1793-8e5a-4ebf-87c6-7f9c99bbd29a,4.6,false,false,near_mint,en,EUR,2025-08-06T14:50:32.528Z
"Lita, Mechanical Engineer",TLE,Avatar: The Last Airbender Eternal,4,normal,mythic,1,109824,e9211079-9499-4443-8cb9-4c2bb2849994,2.85,false,false,near_mint,en,EUR,2025-11-26T15:34:18.488Z
Luminous Broodmoth,BLC,Bloomburrow Commander,144,normal,mythic,1,96460,c5a4b212-bc60-4a58-b5f6-4012a3158785,0.94,false,false,near_mint,en,EUR,2025-11-06T20:40:57.429Z
