Set code,Set name,Entradas,Cantidad total,Foils,Valor compra (EUR)
2XM,Double Masters,2,2,0,0.22
5DN,Fifth Dawn,1,1,0,0.27
8ED,Eighth Edition,1,1,0,0.17
AFC,Forgotten Realms Commander,2,2,0,0.56
AFR,Adventures in the Forgotten Realms,4,9,0,1.27
AKH,Amonkhet,1,1,0,0.17
AVR,Avacyn Restored,45,83,0,36.85
BBD,Battlebond,1,1,0,0.18
BFZ,Battle for Zendikar,2,2,0,0.28
BIG,The Big Score,3,3,0,5.92
BLB,Bloomburrow,29,55,4,21.98
BLC,Bloomburrow Commander,88,90,3,61.11
BRC,The Brothers' War Commander,1,1,0,0.19
BRO,The Brothers' War,9,11,0,2.8
C13,Commander 2013,3,4,0,0.36
C14,Commander 2014,2,2,0,0.73
C15,Commander 2015,1,1,0,0.65
C16,Commander 2016,2,2,0,0.63
C17,Commander 2017,1,1,0,0.52
C19,Commander 2019,8,9,0,2.24
C20,Commander 2020,1,1,0,0.22
C21,Commander 2021,5,5,0,4.11
CHK,Champions of Kamigawa,2,2,0,0.24
CHR,Chronicles,1,1,0,0.2
CLB,Commander Legends: Battle for Baldur's Gate,4,4,0,4.64
CM2,Commander Anthology Volume II,4,5,0,1.6
CMA,Commander Anthology,1,1,0,0.24
CMM,Commander Masters,3,3,0,1.46
CMR,Commander Legends,1,1,0,0.12
CON,Conflux,1,1,0,0.03
DDM,Duel Decks: Jace vs. Vraska,2,2,0,0.18
DDQ,Duel Decks: Blessed vs. Cursed,1,1,0,0.2
DDR,Duel Decks: Nissa vs. Ob Nixilis,1,1,0,0.32
DDT,Duel Decks: Merfolk vs. Goblins,1,1,0,0.29
DFT,Aetherdrift,151,204,17,55.49
DGM,Dragon's Maze,1,1,0,3.8
DKA,Dark Ascension,2,2,0,0.69
DMR,Dominaria Remastered,1,1,0,0.05
DMU,Dominaria United,13,17,0,8.59
DOM,Dominaria,4,5,0,0.66
DSC,Duskmourn: House of Horror Commander,2,2,0,2.16
DSK,Duskmourn: House of Horror,2,2,1,7.58
DTK,Dragons of Tarkir,1,1,0,0.07
ECC,Lorwyn Eclipsed Commander,1,1,0,1.56
ECL,Lorwyn Eclipsed,127,142,1,35.18
ELD,Throne of Eldraine,16,171,0,18.38
EMN,Eldritch Moon,1,1,0,0.49
EOC,Edge of Eternities Commander,86,86,0,71.03
EOE,Edge of Eternities,178,269,5,87.61
EOS,Edge of Eternities: Stellar Sights,3,3,0,3.65
FCA,Final Fantasy: Through the Ages,3,3,0,0.06
FDC,Foundations Commander,3,3,3,5.09
FDN,Foundations,270,483,29,155.52
FIC,Final Fantasy Commander,3,3,0,4.07
FIN,Final Fantasy,128,156,0,51.73
FUT,Future Sight,1,1,0,0.1
GK1,GRN Guild Kit,2,2,0,4.2
GN2,Game Night 2019,2,4,0,0.82
GPT,Guildpact,1,1,0,0.11
GRN,Guilds of Ravnica,1,1,0,0.25
GTC,Gatecrash,3,3,0,0.41
HML,Homelands,2,2,0,0.24
HOU,Hour of Devastation,1,4,0,0.76
IKO,Ikoria: Lair of Behemoths,3,5,0,1.07
IMA,Iconic Masters,2,2,0,0.44
INR,Innistrad Remastered,1,1,0,0.27
J22,Jumpstart 2022,3,3,0,5.82
J25,Foundations Jumpstart,10,14,0,9.28
JMP,Jumpstart,5,8,0,1.65
JOU,Journey into Nyx,1,1,0,2.58
KHM,Kaldheim,9,13,0,1.82
KLD,Kaladesh,2,3,0,0.38
KTK,Khans of Tarkir,1,2,0,0.08
LCC,The Lost Caverns of Ixalan Commander,2,2,0,1.35
LCI,The Lost Caverns of Ixalan,8,10,0,0.4
LGN,Legions,1,2,0,0.46
LTC,Tales of Middle-earth Commander,1,1,0,2.38
LTR,The Lord of the Rings: Tales of Middle-earth,60,71,2,30.6
M10,Magic 2010,1,1,0,0.17
M11,Magic 2011,14,15,0,2.15
M12,Magic 2012,5,6,0,1.05
M15,Magic 2015,1,2,0,0.04
M19,Core Set 2019,4,4,0,0.67
M20,Core Set 2020,12,26,0,2.39
M21,Core Set 2021,17,30,0,3.32
M3C,Modern Horizons 3 Commander,3,3,0,8.71
MAT,March of the Machine: The Aftermath,3,5,0,6.24
MB2,Mystery Booster 2,1,1,0,0.46
MBS,Mirrodin Besieged,3,3,0,0.17
MH1,Modern Horizons,1,1,0,0.09
MH2,Modern Horizons 2,4,4,0,4.43
MH3,Modern Horizons 3,1,1,0,0.64
MID,Innistrad: Midnight Hunt,5,11,0,0.6
MKC,Murders at Karlov Manor Commander,1,1,0,0.4
MKM,Murders at Karlov Manor,121,177,11,96.63
MM2,Modern Masters 2015,4,7,0,3.09
MM3,Modern Masters 2017,2,3,0,0.22
MOC,March of the Machine Commander,2,2,0,1.58
MOM,March of the Machine,32,58,1,28.81
MSH,Marvel Super Heroes,14,14,0,1.53
MUL,Multiverse Legends,2,2,0,0.23
NCC,New Capenna Commander,3,3,0,3.94
NEC,Neon Dynasty Commander,1,1,0,0.16
NEO,Kamigawa: Neon Dynasty,3,6,1,0.45
NPH,New Phyrexia,20,29,1,10.52
ODY,Odyssey,2,2,0,0.16
OGW,Oath of the Gatewatch,1,1,0,1.02
ONE,Phyrexia: All Will Be One,1,1,0,0.09
ORI,Magic Origins,1,1,0,2.23
OTC,Outlaws of Thunder Junction Commander,3,3,0,5.97
OTJ,Outlaws of Thunder Junction,117,146,1,20.47
OTP,Breaking News,9,9,0,7.74
PBFZ,Battle for Zendikar Promos,1,2,0,0.5
PDFT,Aetherdrift Promos,1,1,1,4.88
PELD,Throne of Eldraine Promos,1,1,0,3.42
PKLD,Kaladesh Promos,1,1,0,0.57
PLST,The List,60,111,0,23.12
PM21,Core Set 2021 Promos,1,1,0,0.18
PMOM,March of the Machine Promos,1,1,0,11.71
PSTX,Strixhaven: School of Mages Promos,1,1,0,2.91
PTHB,Theros Beyond Death Promos,2,2,0,0.71
PW26,Wizards Play Network 2026,4,4,1,4.15
PWOE,Wilds of Eldraine Promos,1,1,0,0.49
PZA,Teenage Mutant Ninja Turtles Source Material,1,1,0,13.76
RAV,Ravnica: City of Guilds,1,1,0,0.04
RNA,Ravnica Allegiance,3,3,0,0.39
ROE,Rise of the Eldrazi,2,2,0,0.17
SCD,Starter Commander Decks,4,4,0,1.59
SLD,Secret Lair Drop,1,1,0,1.7
SNC,Streets of New Capenna,6,13,0,2.24
SOA,Secrets of Strixhaven Mystical Archive,18,18,1,99.6
SOC,Secrets of Strixhaven Commander,13,13,0,12.22
SOI,Shadows over Innistrad,1,2,0,0.06
SOM,Scars of Mirrodin,6,9,0,2.16
SOS,Secrets of Strixhaven,198,224,1,56.92
SPG,Special Guests,2,2,0,9.25
SPM,Marvel's Spider-Man,110,139,1,16.61
STX,Strixhaven: School of Mages,14,22,0,7.98
TAVR,Avacyn Restored Tokens,1,1,0,0.12
TDC,Tarkir: Dragonstorm Commander,10,10,0,8.81
TDFT,Aetherdrift Tokens,1,1,0,0.09
TDM,Tarkir: Dragonstorm,119,126,11,35.19
TECL,Lorwyn Eclipsed Tokens,4,9,0,0.0
TEOE,Edge of Eternities Tokens,4,7,0,0.0
TFIN,Final Fantasy Tokens,5,5,0,1.28
THB,Theros Beyond Death,4,4,0,1.05
THS,Theros,1,1,0,0.11
TLA,Avatar: The Last Airbender,110,133,1,17.34
TLE,Avatar: The Last Airbender Eternal,2,2,0,5.1
TMC,Teenage Mutant Ninja Turtles Eternal,2,2,0,2.7
TMT,Teenage Mutant Ninja Turtles,96,126,1,18.71
TOTJ,Outlaws of Thunder Junction Tokens,4,4,0,1.49
TSOS,Secrets of Strixhaven Tokens,8,11,0,0.0
TSPM,Marvel's Spider-Man Tokens,3,6,0,0.0
TSR,Time Spiral Remastered,1,1,0,0.18
TTLA,Avatar: The Last Airbender Tokens,4,5,0,0.0
TTMT,Teenage Mutant Ninja Turtles Tokens,2,7,0,0.0
UMA,Ultimate Masters,1,1,0,1.07
UND,Unsanctioned,1,55,0,4.95
VOW,Innistrad: Crimson Vow,16,28,0,5.79
WOC,Wilds of Eldraine Commander,1,1,0,1.38
WOE,Wilds of Eldraine,9,18,0,2.9
WWK,Worldwake,1,1,0,0.32
XLN,Ixalan,19,20,0,1.65
ZEN,Zendikar,1,1,0,0.36
ZNR,Zendikar Rising,12,31,1,3.07
